fecha,capa1,capa2,capa3,iep_total,pesos_version,capa1_adj,capa2_adj,capa3_adj,iep_ajustado
2009-02-09,,,,,incompleta-v4,,,,
2009-02-10,,,,,incompleta-v4,,,,
2009-02-11,,,,,incompleta-v4,,,,
2009-02-12,,,,,incompleta-v4,,,,
2009-02-13,,,,,incompleta-v4,,,,
2009-02-16,,,,,incompleta-v4,,,,
2009-02-17,,,,,incompleta-v4,,,,
2009-02-18,,,,,incompleta-v4,,,,
2009-02-19,,,,,incompleta-v4,,,,
2009-02-20,,,,,incompleta-v4,,,,
2009-02-23,,,,,incompleta-v4,,,,
2009-02-24,,,,,incompleta-v4,,,,
2009-02-25,,,,,incompleta-v4,,,,
2009-02-26,,,,,incompleta-v4,,,,
2009-02-27,,,,,incompleta-v4,,,,
2009-03-02,,,,,incompleta-v4,,,,
2009-03-03,,,,,incompleta-v4,,,,
2009-03-04,,,,,incompleta-v4,,,,
2009-03-05,,,,,incompleta-v4,,,,
2009-03-06,,,,,incompleta-v4,,,,
2009-03-09,,,,,incompleta-v4,,,,
2009-03-10,,,,,incompleta-v4,,,,
2009-03-11,,,,,incompleta-v4,,,,
2009-03-12,,,,,incompleta-v4,,,,
2009-03-13,,,,,incompleta-v4,,,,
2009-03-16,,,,,incompleta-v4,,,,
2009-03-17,,,,,incompleta-v4,,,,
2009-03-18,,,,,incompleta-v4,,,,
2009-03-19,,,,,incompleta-v4,,,,
2009-03-20,,,,,incompleta-v4,,,,
2009-03-23,,,,,incompleta-v4,,,,
2009-03-24,,,,,incompleta-v4,,,,
2009-03-25,,,,,incompleta-v4,,,,
2009-03-26,,,,,incompleta-v4,,,,
2009-03-27,,,,,incompleta-v4,,,,
2009-03-30,,,,,incompleta-v4,,,,
2009-03-31,,,,,incompleta-v4,,,,
2009-04-01,,,,,incompleta-v4,,,,
2009-04-02,,,,,incompleta-v4,,,,
2009-04-03,,,,,incompleta-v4,,,,
2009-04-06,,,,,incompleta-v4,,,,
2009-04-07,,,,,incompleta-v4,,,,
2009-04-08,,,,,incompleta-v4,,,,
2009-04-09,,,,,incompleta-v4,,,,
2009-04-13,,,,,incompleta-v4,,,,
2009-04-14,,,,,incompleta-v4,,,,
2009-04-15,,,,,incompleta-v4,,,,
2009-04-16,,,,,incompleta-v4,,,,
2009-04-17,,,,,incompleta-v4,,,,
2009-04-20,,,,,incompleta-v4,,,,
2009-04-21,,,,,incompleta-v4,,,,
2009-04-22,,,,,incompleta-v4,,,,
2009-04-23,,,,,incompleta-v4,,,,
2009-04-24,,,,,incompleta-v4,,,,
2009-04-27,,,,,incompleta-v4,,,,
2009-04-28,,,,,incompleta-v4,,,,
2009-04-29,,,,,incompleta-v4,,,,
2009-04-30,,,,,incompleta-v4,,,,
2009-05-01,,,,,incompleta-v4,,,,
2009-05-04,,,,,incompleta-v4,,,,
2009-05-05,,,,,incompleta-v4,,,,
2009-05-06,,,,,incompleta-v4,,,,
2009-05-07,,,,,incompleta-v4,,,,
2009-05-08,,,,,incompleta-v4,,,,
2009-05-11,,,,,incompleta-v4,,,,
2009-05-12,,,,,incompleta-v4,,,,
2009-05-13,,,,,incompleta-v4,,,,
2009-05-14,,,,,incompleta-v4,,,,
2009-05-15,,,,,incompleta-v4,,,,
2009-05-18,,,,,incompleta-v4,,,,
2009-05-19,,,,,incompleta-v4,,,,
2009-05-20,,,,,incompleta-v4,,,,
2009-05-21,,,,,incompleta-v4,,,,
2009-05-22,,,,,incompleta-v4,,,,
2009-05-25,,,,,incompleta-v4,,,,
2009-05-26,,,,,incompleta-v4,,,,
2009-05-27,,,,,incompleta-v4,,,,
2009-05-28,,,,,incompleta-v4,,,,
2009-05-29,,,,,incompleta-v4,,,,
2009-06-01,,,,,incompleta-v4,,,,
2009-06-02,,,,,incompleta-v4,,,,
2009-06-03,,,,,incompleta-v4,,,,
2009-06-04,,,,,incompleta-v4,,,,
2009-06-05,,,,,incompleta-v4,,,,
2009-06-08,,,,,incompleta-v4,,,,
2009-06-09,,,,,incompleta-v4,,,,
2009-06-10,,,,,incompleta-v4,,,,
2009-06-11,,,,,incompleta-v4,,,,
2009-06-12,,,,,incompleta-v4,,,,
2009-06-15,,,,,incompleta-v4,,,,
2009-06-16,,,,,incompleta-v4,,,,
2009-06-17,,,,,incompleta-v4,,,,
2009-06-18,,,,,incompleta-v4,,,,
2009-06-19,,,,,incompleta-v4,,,,
2009-06-22,,,,,incompleta-v4,,,,
2009-06-23,,,,,incompleta-v4,,,,
2009-06-24,,,,,incompleta-v4,,,,
2009-06-25,,,,,incompleta-v4,,,,
2009-06-26,,,,,incompleta-v4,,,,
2009-06-29,,,,,incompleta-v4,,,,
2009-06-30,,,,,incompleta-v4,,,,
2009-07-01,,,,,incompleta-v4,,,,
2009-07-02,,,,,incompleta-v4,,,,
2009-07-03,,,,,incompleta-v4,,,,
2009-07-06,,,,,incompleta-v4,,,,
2009-07-07,,,,,incompleta-v4,,,,
2009-07-08,,,,,incompleta-v4,,,,
2009-07-09,,,,,incompleta-v4,,,,
2009-07-10,,,,,incompleta-v4,,,,
2009-07-13,,,,,incompleta-v4,,,,
2009-07-14,,,,,incompleta-v4,,,,
2009-07-15,,,,,incompleta-v4,,,,
2009-07-16,,,,,incompleta-v4,,,,
2009-07-17,,,,,incompleta-v4,,,,
2009-07-20,,,,,incompleta-v4,,,,
2009-07-21,,,,,incompleta-v4,,,,
2009-07-22,,,,,incompleta-v4,,,,
2009-07-23,,,,,incompleta-v4,,,,
2009-07-24,,,,,incompleta-v4,,,,
2009-07-27,,,,,incompleta-v4,,,,
2009-07-28,,,,,incompleta-v4,,,,
2009-07-29,,,,,incompleta-v4,,,,
2009-07-30,,,,,incompleta-v4,,,,
2009-07-31,,,,,incompleta-v4,,,,
2009-08-03,,,,,incompleta-v4,,,,
2009-08-04,,,,,incompleta-v4,,,,
2009-08-05,,,,,incompleta-v4,,,,
2009-08-06,,,,,incompleta-v4,,,,
2009-08-07,,,,,incompleta-v4,,,,
2009-08-10,,,,,incompleta-v4,,,,
2009-08-11,,,,,incompleta-v4,,,,
2009-08-12,,,,,incompleta-v4,,,,
2009-08-13,,,,,incompleta-v4,,,,
2009-08-14,,,,,incompleta-v4,,,,
2009-08-17,,,,,incompleta-v4,,,,
2009-08-18,,,,,incompleta-v4,,,,
2009-08-19,,,,,incompleta-v4,,,,
2009-08-20,,,,,incompleta-v4,,,,
2009-08-21,,,,,incompleta-v4,,,,
2009-08-24,,,,,incompleta-v4,,,,
2009-08-25,,,,,incompleta-v4,,,,
2009-08-26,,,,,incompleta-v4,,,,
2009-08-27,,,,,incompleta-v4,,,,
2009-08-28,,,,,incompleta-v4,,,,
2009-08-31,,,,,incompleta-v4,,,,
2009-09-01,,,,,incompleta-v4,,,,
2009-09-02,,,,,incompleta-v4,,,,
2009-09-03,,,,,incompleta-v4,,,,
2009-09-04,,,,,incompleta-v4,,,,
2009-09-07,,,,,incompleta-v4,,,,
2009-09-08,,,,,incompleta-v4,,,,
2009-09-09,,,,,incompleta-v4,,,,
2009-09-10,,,,,incompleta-v4,,,,
2009-09-11,,,,,incompleta-v4,,,,
2009-09-14,,,,,incompleta-v4,,,,
2009-09-15,,,,,incompleta-v4,,,,
2009-09-16,,,,,incompleta-v4,,,,
2009-09-17,,,,,incompleta-v4,,,,
2009-09-18,,,,,incompleta-v4,,,,
